     x:             analytic:               u(x):
     0.00000000     0.00000000     0.00000000
    0.010000000   0.0099989657   0.0099977353
    0.020000000    0.019997932    0.019946463
    0.030000000    0.029996901    0.029895193
    0.040000000    0.039995873    0.039843926
    0.050000000    0.049994849    0.049792663
    0.060000000    0.059993830    0.059741405
    0.070000000    0.069992817    0.069690153
    0.080000000    0.079991811    0.079638908
    0.090000000    0.089990813    0.089587672
     0.10000000    0.099989825    0.099536444
     0.11000000     0.10998885     0.10948523
     0.12000000     0.11998788     0.11943402
     0.13000000     0.12998692     0.12938282
     0.14000000     0.13998598     0.13933164
     0.15000000     0.14998505     0.14928047
     0.16000000     0.15998414     0.15922932
     0.17000000     0.16998324     0.16917818
     0.18000000     0.17998236     0.17912706
     0.19000000     0.18998149     0.18907596
     0.20000000     0.19998065     0.19902487
     0.21000000     0.20997982     0.20897381
     0.22000000     0.21997901     0.21892276
     0.23000000     0.22997822     0.22887173
     0.24000000     0.23997746     0.23882073
     0.25000000     0.24997672     0.24876975
     0.26000000     0.25997600     0.25871879
     0.27000000     0.26997530     0.26866785
     0.28000000     0.27997463     0.27861694
     0.29000000     0.28997398     0.28856605
     0.30000000     0.29997336     0.29851519
     0.31000000     0.30997277     0.30846436
     0.32000000     0.31997220     0.31841355
     0.33000000     0.32997166     0.32836277
     0.34000000     0.33997114     0.33831202
     0.35000000     0.34997066     0.34826129
     0.36000000     0.35997021     0.35821060
     0.37000000     0.36996978     0.36815993
     0.38000000     0.37996938     0.37810930
     0.39000000     0.38996902     0.38805869
     0.40000000     0.39996868     0.39800811
     0.41000000     0.40996838     0.40795757
     0.42000000     0.41996811     0.41790706
     0.43000000     0.42996786     0.42785657
     0.44000000     0.43996765     0.43780612
     0.45000000     0.44996748     0.44775570
     0.46000000     0.45996733     0.45770532
     0.47000000     0.46996722     0.46765496
     0.48000000     0.47996714     0.47760464
     0.49000000     0.48996709     0.48755435
     0.50000000     0.49996707     0.49750409
     0.51000000     0.50996709     0.50745387
     0.52000000     0.51996714     0.51740367
     0.53000000     0.52996722     0.52735351
     0.54000000     0.53996733     0.53730339
     0.55000000     0.54996748     0.54725329
     0.56000000     0.55996765     0.55720323
     0.57000000     0.56996786     0.56715319
     0.58000000     0.57996811     0.57710319
     0.59000000     0.58996838     0.58705322
     0.60000000     0.59996868     0.59700329
     0.61000000     0.60996902     0.60695338
     0.62000000     0.61996938     0.61690350
     0.63000000     0.62996978     0.62685366
     0.64000000     0.63997021     0.63680384
     0.65000000     0.64997066     0.64675405
     0.66000000     0.65997114     0.65670429
     0.67000000     0.66997166     0.66665456
     0.68000000     0.67997220     0.67660486
     0.69000000     0.68997277     0.68655519
     0.70000000     0.69997336     0.69650554
     0.71000000     0.70997398     0.70645592
     0.72000000     0.71997463     0.71640632
     0.73000000     0.72997530     0.72635675
     0.74000000     0.73997600     0.73630720
     0.75000000     0.74997672     0.74625768
     0.76000000     0.75997746     0.75620818
     0.77000000     0.76997822     0.76615870
     0.78000000     0.77997901     0.77610924
     0.79000000     0.78997982     0.78605981
     0.80000000     0.79998065     0.79601039
     0.81000000     0.80998149     0.80596099
     0.82000000     0.81998236     0.81591162
     0.83000000     0.82998324     0.82586225
     0.84000000     0.83998414     0.83581291
     0.85000000     0.84998505     0.84576358
     0.86000000     0.85998598     0.85571427
     0.87000000     0.86998692     0.86566496
     0.88000000     0.87998788     0.87561568
     0.89000000     0.88998885     0.88556640
     0.90000000     0.89998982     0.89551714
     0.91000000     0.90999081     0.90546788
     0.92000000     0.91999181     0.91541863
     0.93000000     0.92999282     0.92536940
     0.94000000     0.93999383     0.93532017
     0.95000000     0.94999485     0.94527094
     0.96000000     0.95999587     0.95522172
     0.97000000     0.96999690     0.96517251
     0.98000000     0.97999793     0.97512329
     0.99000000     0.98999897     0.98507408
      1.0000000      1.0000000      1.0000000
