     x:             analytic:               u(x):
     0.00000000     0.00000000     0.00000000
    0.010000000  3.0026686E-07  3.1551915E-07
    0.020000000  6.1860201E-07  6.4357946E-07
    0.030000000  9.7397298E-07  1.0094106E-06
    0.040000000  1.3871804E-06  1.4340134E-06
    0.050000000  1.8818619E-06  1.9412250E-06
    0.060000000  2.4856033E-06  2.5588209E-06
    0.070000000  3.2311967E-06  3.3197623E-06
    0.080000000  4.1580887E-06  4.2636294E-06
    0.090000000  5.3140672E-06  5.4382887E-06
     0.10000000  6.7572380E-06  6.9018442E-06
     0.11000000  8.5583522E-06  8.7249323E-06
     0.12000000  1.0803550E-05  1.0993423E-05
     0.13000000  1.3597594E-05  1.3811605E-05
     0.14000000  1.7067679E-05  1.7305924E-05
     0.15000000  2.1367911E-05  2.1629385E-05
     0.16000000  2.6684552E-05  2.6966701E-05
     0.17000000  3.3242163E-05  3.3540314E-05
     0.18000000  4.1310760E-05  4.1617405E-05
     0.19000000  5.1214124E-05  5.1518037E-05
     0.20000000  6.3339435E-05  6.3624580E-05
     0.21000000  7.8148381E-05  7.8392579E-05
     0.22000000  9.6189933E-05  9.6363245E-05
     0.23000000  0.00011811498  0.00011817775
     0.24000000  0.00014469302  0.00014459356
     0.25000000  0.00017683116  0.00017650294
     0.26000000  0.00021559560  0.00021495398
     0.27000000  0.00026223587  0.00026117420
     0.28000000  0.00031821202  0.00031659715
     0.29000000  0.00038522513  0.00038289209
     0.30000000  0.00046525110  0.00046199702
     0.31000000  0.00056057825  0.00055615533
     0.32000000  0.00067384875  0.00066795621
     0.33000000  0.00080810407  0.00080037898
     0.34000000  0.00096683469  0.00095684155
     0.35000000   0.0011540341   0.0011412531
     0.36000000   0.0013742571   0.0013580711
     0.37000000   0.0016326825   0.0016123624
     0.38000000   0.0019351806   0.0019098685
     0.39000000   0.0022883835   0.0022570755
     0.40000000   0.0026997609   0.0026612868
     0.41000000   0.0031776985   0.0031307004
     0.42000000   0.0037315794   0.0036744883
     0.43000000   0.0043718684   0.0043028787
     0.44000000   0.0051101980   0.0050272403
     0.45000000   0.0059594545   0.0058601666
     0.46000000   0.0069338653   0.0068155611
     0.47000000   0.0080490831   0.0079087204
     0.48000000   0.0093222691   0.0091564150
     0.49000000    0.010772170    0.010576966
     0.50000000    0.012419193    0.012190317
     0.51000000    0.014285466    0.014018097
     0.52000000    0.016394897    0.016083673
     0.53000000    0.018773214    0.018412200
     0.54000000    0.021447999    0.021030641
     0.55000000    0.024448698    0.023967791
     0.56000000    0.027806619    0.027254268
     0.57000000    0.031554908    0.030922491
     0.58000000    0.035728500    0.035006641
     0.59000000    0.040364053    0.039542585
     0.60000000    0.045499846    0.044567787
     0.61000000    0.051175659    0.050121188
     0.62000000    0.057432614    0.056243055
     0.63000000    0.064312995    0.062974799
     0.64000000    0.071860032    0.070358771
     0.65000000    0.080117652    0.078438019
     0.66000000    0.089130206    0.087256017
     0.67000000    0.098942156    0.096856363
     0.68000000     0.10959774     0.10728245
     0.69000000     0.12114060     0.11857712
     0.70000000     0.13361342     0.13078225
     0.71000000     0.14705747     0.14393839
     0.72000000     0.16151219     0.15808431
     0.73000000     0.17701478     0.17325657
     0.74000000     0.19359969     0.18948907
     0.75000000     0.21129818     0.20681263
     0.76000000     0.23013789     0.22525446
     0.77000000     0.25014234     0.24483782
     0.78000000     0.27133051     0.26558149
     0.79000000     0.29371642     0.28749940
     0.80000000     0.31730873     0.31060025
     0.81000000     0.34211040     0.33488713
     0.82000000     0.36811831     0.36035721
     0.83000000     0.39532307     0.38700146
     0.84000000     0.42370871     0.41480444
     0.85000000     0.45325254     0.44374411
     0.86000000     0.48392508     0.47379173
     0.87000000     0.51568993     0.50491180
     0.88000000     0.54850388     0.53706213
     0.89000000     0.58231697     0.57019386
     0.90000000     0.61707262     0.60425166
     0.91000000     0.65270795     0.63917397
     0.92000000     0.68915399     0.67489327
     0.93000000     0.72633614     0.71133649
     0.94000000     0.76417458     0.74842539
     0.95000000     0.80258476     0.78607710
     0.96000000     0.84147799     0.82420467
     0.97000000     0.88076203     0.86271762
     0.98000000     0.92034175     0.90152264
     0.99000000     0.96011983     0.94052424
      1.0000000     0.99999747      1.0000000
