     x:             analytic:               u(x):
     0.00000000     0.00000000     0.00000000
    0.010000000  3.0026686E-07  3.1470523E-07
    0.020000000  6.1860201E-07  6.4803692E-07
    0.030000000  9.7397298E-07  1.0195360E-06
    0.040000000  1.3871804E-06  1.4506073E-06
    0.050000000  1.8818619E-06  1.9655385E-06
    0.060000000  2.4856033E-06  2.5926275E-06
    0.070000000  3.2311967E-06  3.3654566E-06
    0.080000000  4.1580887E-06  4.3243567E-06
    0.090000000  5.3140672E-06  5.5181113E-06
     0.10000000  6.7572380E-06  7.0059503E-06
     0.11000000  8.5583522E-06  8.8598947E-06
     0.12000000  1.0803550E-05  1.1167519E-05
     0.13000000  1.3597594E-05  1.4035202E-05
     0.14000000  1.7067679E-05  1.7591956E-05
     0.15000000  2.1367911E-05  2.1993922E-05
     0.16000000  2.6684552E-05  2.7429636E-05
     0.17000000  3.3242163E-05  3.4126182E-05
     0.18000000  4.1310760E-05  4.2356368E-05
     0.19000000  5.1214124E-05  5.2447049E-05
     0.20000000  6.3339435E-05  6.4788768E-05
     0.21000000  7.8148381E-05  7.9846871E-05
     0.22000000  9.6189933E-05  9.8174284E-05
     0.23000000  0.00011811498  0.00012042614
     0.24000000  0.00014469302  0.00014737648
     0.25000000  0.00017683116  0.00017993718
     0.26000000  0.00021559560  0.00021917945
     0.27000000  0.00026223587  0.00026635804
     0.28000000  0.00031821202  0.00032293836
     0.29000000  0.00038522513  0.00039062687
     0.30000000  0.00046525110  0.00047140491
     0.31000000  0.00056057825  0.00056756611
     0.32000000  0.00067384875  0.00068175776
     0.33000000  0.00080810407  0.00081702613
     0.34000000  0.00096683469  0.00097686604
     0.35000000   0.0011540341   0.0011652747
     0.36000000   0.0013742571   0.0013868099
     0.37000000   0.0016326825   0.0016466526
     0.38000000   0.0019351806   0.0019506738
     0.39000000   0.0022883835   0.0023055054
     0.40000000   0.0026997609   0.0027186153
     0.41000000   0.0031776985   0.0031983856
     0.42000000   0.0037315794   0.0037541941
     0.43000000   0.0043718684   0.0043964983
     0.44000000   0.0051101980   0.0051369210
     0.45000000   0.0059594545   0.0059883370
     0.46000000   0.0069338653   0.0069649593
     0.47000000   0.0080490831   0.0080824243
     0.48000000   0.0093222691   0.0093578739
     0.49000000    0.010772170    0.010810034
     0.50000000    0.012419193    0.012459287
     0.51000000    0.014285466    0.014327735
     0.52000000    0.016394897    0.016439258
     0.53000000    0.018773214    0.018819556
     0.54000000    0.021447999    0.021496179
     0.55000000    0.024448698    0.024498540
     0.56000000    0.027806619    0.027857916
     0.57000000    0.031554908    0.031607419
     0.58000000    0.035728500    0.035781954
     0.59000000    0.040364053    0.040418148
     0.60000000    0.045499846    0.045554252
     0.61000000    0.051175659    0.051230019
     0.62000000    0.057432614    0.057486549
     0.63000000    0.064312995    0.064366109
     0.64000000    0.071860032    0.071911913
     0.65000000    0.080117652    0.080167882
     0.66000000    0.089130206    0.089178363
     0.67000000    0.098942156    0.098987822
     0.68000000     0.10959774     0.10964051
     0.69000000     0.12114060     0.12118009
     0.70000000     0.13361342     0.13364926
     0.71000000     0.14705747     0.14708933
     0.72000000     0.16151219     0.16153979
     0.73000000     0.17701478     0.17703786
     0.74000000     0.19359969     0.19361807
     0.75000000     0.21129818     0.21131173
     0.76000000     0.23013789     0.23014654
     0.77000000     0.25014234     0.25014608
     0.78000000     0.27133051     0.27132941
     0.79000000     0.29371642     0.29371062
     0.80000000     0.31730873     0.31729845
     0.81000000     0.34211040     0.34209590
     0.82000000     0.36811831     0.36809996
     0.83000000     0.39532307     0.39530127
     0.84000000     0.42370871     0.42368393
     0.85000000     0.45325254     0.45322531
     0.86000000     0.48392508     0.48389594
     0.87000000     0.51568993     0.51565950
     0.88000000     0.54850388     0.54847278
     0.89000000     0.58231697     0.58228582
     0.90000000     0.61707262     0.61704206
     0.91000000     0.65270795     0.65267860
     0.92000000     0.68915399     0.68912645
     0.93000000     0.72633614     0.72631099
     0.94000000     0.76417458     0.76415233
     0.95000000     0.80258476     0.80256589
     0.96000000     0.84147799     0.84146289
     0.97000000     0.88076203     0.88075104
     0.98000000     0.92034175     0.92033513
     0.99000000     0.96011983     0.96011775
      1.0000000     0.99999747      1.0000000
